Datetime,load,temperature,humidity,rain,wind10,wind100,radiation,cloud_cover,Week_day,hour,day_of_week,month,year,day_of_year,is_summer,is_monsoon,is_holiday,load_lag_24,load_lag_48,load_lag_168,load_roll_mean_24,load_roll_mean_168,load_roll_std_24
2020-01-08 00:00:00,10632.57,23.0,92.0,0.0,9.5,19.1,0.0,90.0,0,0,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 01:00:00,10429.41,23.6,88.0,0.0,11.2,19.5,0.0,60.0,0,1,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 02:00:00,10258.19,24.5,84.0,0.0,11.6,17.4,37.0,29.0,0,2,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 03:00:00,10116.57,25.9,75.0,0.0,13.6,18.4,197.0,26.0,0,3,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 04:00:00,10199.25,27.6,66.0,0.0,13.2,17.7,423.0,20.0,0,4,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 05:00:00,10829.43,29.1,58.0,0.0,14.2,18.9,586.0,14.0,0,5,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 06:00:00,12076.37,30.2,51.0,0.0,15.1,19.5,710.0,27.0,0,6,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 07:00:00,13604.81,31.2,47.0,0.0,14.3,18.1,791.0,22.0,0,7,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 08:00:00,13248.48,31.9,44.0,0.0,13.5,17.3,783.0,25.0,0,8,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 09:00:00,12945.9,32.0,42.0,0.0,13.3,16.8,638.0,44.0,0,9,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 10:00:00,13254.97,31.3,43.0,0.0,12.1,15.6,338.0,60.0,0,10,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 11:00:00,13301.4,31.2,42.0,0.0,12.0,16.8,235.0,77.0,0,11,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 12:00:00,13310.07,28.6,59.0,0.0,16.2,23.5,117.0,37.0,0,12,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 13:00:00,12662.18,26.2,75.0,0.0,15.5,25.8,23.0,5.0,0,13,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 14:00:00,12826.89,25.5,78.0,0.0,15.1,25.7,0.0,0.0,0,14,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 15:00:00,13112.3,24.9,80.0,0.0,14.3,25.2,0.0,0.0,0,15,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 16:00:00,13164.15,24.4,81.0,0.0,12.4,22.8,0.0,0.0,0,16,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 17:00:00,13590.02,24.0,83.0,0.0,11.9,22.5,0.0,0.0,0,17,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 18:00:00,14018.59,23.5,84.0,0.0,11.8,22.3,0.0,0.0,0,18,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 19:00:00,13807.08,23.0,85.0,0.0,10.2,20.0,0.0,15.0,0,19,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 20:00:00,13180.59,22.5,87.0,0.0,9.5,19.1,0.0,3.0,0,20,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 21:00:00,12444.56,22.1,88.0,0.0,8.4,17.7,0.0,4.0,0,21,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 22:00:00,11873.64,21.8,90.0,0.0,7.6,16.5,0.0,4.0,0,22,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-08 23:00:00,11185.44,21.5,91.0,0.0,7.6,16.3,0.0,3.0,0,23,2,1,2020,8,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-09 00:00:00,10671.09,21.1,93.0,0.0,7.3,15.9,0.0,3.0,0,0,3,1,2020,9,0,0,0,10632.57,10632.57,10632.57,12336.369166666665,12173.51505952381,1296.9671650596076
2020-01-09 01:00:00,10376.44,21.3,92.0,0.0,8.3,17.0,0.0,1.0,0,1,3,1,2020,9,0,0,0,10429.41,10632.57,10632.57,12337.974166666667,12173.51505952381,1294.7890428238372
2020-01-09 02:00:00,10303.37,22.5,87.0,0.0,9.7,16.3,48.0,2.0,0,2,3,1,2020,9,0,0,0,10258.19,10632.57,10632.57,12335.767083333334,12173.51505952381,1298.2243978352137
2020-01-09 03:00:00,10144.14,24.6,76.0,0.0,12.8,17.3,245.0,4.0,0,3,3,1,2020,9,0,0,0,10116.57,10632.57,10632.57,12337.649583333334,12173.51505952381,1295.1098294856138
